period,y,target_lag_1,target_lag_3,target_lag_6,Value,Value_lag_1,Value_lag_2
2010-12-19,402809.0,411130.0,381273.0,391495.0,1.2557142857142858,0.21571428571428572,1.987142857142857
2010-12-26,361870.0,402809.0,363410.0,385685.0,0.5614285714285714,1.2557142857142858,0.21571428571428572
2011-01-02,423295.0,361870.0,411130.0,388743.0,1.77,0.5614285714285714,1.2557142857142858
2011-01-09,400282.0,423295.0,402809.0,381273.0,4.247142857142856,1.77,0.5614285714285714
2011-01-16,386293.0,400282.0,361870.0,363410.0,6.872857142857143,4.247142857142856,1.77
2011-01-23,380241.0,386293.0,423295.0,411130.0,1.5157142857142858,6.872857142857143,4.247142857142856
2011-01-30,382155.0,380241.0,400282.0,402809.0,0.5885714285714286,1.5157142857142858,6.872857142857143
2011-02-06,405190.0,382155.0,386293.0,361870.0,2.414285714285714,0.5885714285714286,1.5157142857142858
2011-02-13,414931.0,405190.0,380241.0,423295.0,3.442857142857143,2.414285714285714,0.5885714285714286
2011-02-20,398042.0,414931.0,382155.0,400282.0,2.4385714285714286,3.442857142857143,2.414285714285714
2011-02-27,382208.0,398042.0,405190.0,386293.0,3.3814285714285717,2.4385714285714286,3.442857142857143
2011-03-06,398141.0,382208.0,414931.0,380241.0,0.12571428571428572,3.3814285714285717,2.4385714285714286
2011-03-13,416788.0,398141.0,398042.0,382155.0,1.0671428571428572,0.12571428571428572,3.3814285714285717
2011-03-20,425003.0,416788.0,382208.0,405190.0,0.6885714285714286,1.0671428571428572,0.12571428571428572
2011-03-27,430512.0,425003.0,398141.0,414931.0,0.09857142857142856,0.6885714285714286,1.0671428571428572
2011-04-03,437280.0,430512.0,416788.0,398042.0,1.737142857142857,0.09857142857142856,0.6885714285714286
2011-04-10,433066.0,437280.0,425003.0,382208.0,0.6142857142857142,1.737142857142857,0.09857142857142856
2011-04-17,414417.0,433066.0,430512.0,398141.0,0.24857142857142858,0.6142857142857142,1.737142857142857
2011-04-24,430923.0,414417.0,437280.0,416788.0,0.19285714285714284,0.24857142857142858,0.6142857142857142
2011-05-01,441657.0,430923.0,433066.0,425003.0,0.16428571428571428,0.19285714285714284,0.24857142857142858
2011-05-08,431361.0,441657.0,414417.0,430512.0,2.498571428571428,0.16428571428571428,0.19285714285714284
