week_ending,baseline_forecast,multivariate_forecast
2015-07-05,441737.6020836464,447037.28163634235
2015-07-12,440988.2286432981,445807.438574854
2015-07-19,440202.58740880305,442306.3628268035
2015-07-26,437607.7078828801,438212.5119377987
2015-08-02,434524.3848432211,437361.0702525913
2015-08-09,433832.93685700744,436192.9495726549
2015-08-16,432862.8294728296,435902.48039961053
2015-08-23,432520.38962262636,437045.74923600414
