period,total_attendances,temp_mean
2013-07-21,457046.0,19.685714285714287
2013-07-28,440753.0,19.728571428571428
2013-08-04,420149.0,18.857142857142858
2013-08-11,413461.0,16.32857142857143
2013-08-18,403535.0,16.414285714285715
2013-08-25,417216.0,17.271428571428572
2013-09-01,427343.0,16.285714285714285
2013-09-08,410663.0,15.271428571428572
2013-09-15,395337.0,12.357142857142858
2013-09-22,410869.0,12.414285714285715
2013-09-29,430353.0,14.657142857142857
2013-10-06,423344.0,14.685714285714285
2013-10-13,415362.0,11.87142857142857
2013-10-20,410503.0,11.885714285714286
2013-10-27,418366.0,13.357142857142858
2013-11-03,389081.0,9.457142857142857
2013-11-10,401448.0,6.6
2013-11-17,406615.0,6.528571428571429
2013-11-24,404822.0,4.357142857142857
2013-12-01,412303.0,5.514285714285714
2013-12-08,415790.0,6.242857142857143
2013-12-15,415972.0,7.171428571428572
2013-12-22,408501.0,6.471428571428571
2013-12-29,372162.0,5.557142857142857
2014-01-05,387463.0,6.771428571428571
2014-01-12,383566.0,6.257142857142857
2014-01-19,390532.0,6.071428571428571
2014-01-26,398018.0,5.128571428571428
2014-02-02,406929.0,4.971428571428572
2014-02-09,418413.0,6.185714285714285
2014-02-16,409118.0,5.071428571428571
2014-02-23,410878.0,7.628571428571428
2014-03-02,429996.0,6.642857142857143
2014-03-09,438615.0,7.942857142857143
2014-03-16,446850.0,7.914285714285714
2014-03-23,450955.0,8.285714285714286
2014-03-30,433777.0,7.114285714285714
2014-04-06,450015.0,11.414285714285715
2014-04-13,428084.0,9.671428571428573
2014-04-20,432677.0,8.714285714285714
2014-04-27,442159.0,11.285714285714286
2014-05-04,441067.0,10.614285714285714
2014-05-11,448933.0,11.9
2014-05-18,450219.0,13.085714285714285
2014-05-25,457791.0,13.6
2014-06-01,430555.0,12.728571428571428
2014-06-08,444197.0,14.242857142857144
2014-06-15,455876.0,15.985714285714284
2014-06-22,460936.0,15.828571428571427
2014-06-29,455391.0,14.985714285714286
2014-07-06,450521.0,16.1
2014-07-13,453121.0,16.3
2014-07-20,456599.0,18.785714285714285
2014-07-27,451114.0,19.900000000000002
2014-08-03,431613.0,17.442857142857143
